response_code,isbn,box,long_title,author,publisher,binding_type,pages,date_published
200,9781562475154,08 Ingall's & The American Girl's Collection,Meet Josefina (american Girl),Valerie Tripp,Pleasant,Paperback,85,1997
200,9781562475178,08 Ingall's & The American Girl's Collection,Josefina Learns A Lesson (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1997
200,9781562475192,08 Ingall's & The American Girl's Collection,Josefina's Surprise (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1997
200,9781562475895,08 Ingall's & The American Girl's Collection,Josefina Saves The Day (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1998
200,9781562475895,08 Ingall's & The American Girl's Collection,Josefina Saves The Day (american Girl Collection),Valerie Tripp,American Girl,Paperback,88,1998
200,9781562475918,08 Ingall's & The American Girl's Collection,Changes For Josefina (american Girl Collection),Valerie Tripp,American Girl,Paperback,80,N/A
404,9780522866322,09 Australiana,N/A,N/A,N/A,N/A,N/A,N/A
200,9781741171679,09 Australiana,Explore Australia's National Parks,Universal Publishers-explore Australia,Universal Publishers-explore Australia,Paperback,402,2007
200,9781742668444,09 Australiana,Australian Mongrel,Dave Darcy,Murdoch Books,Hardcover,244,2012
404,9781743461600,09 Australiana,N/A,N/A,N/A,N/A,N/A,N/A
404,9781869711122,09 Australiana,N/A,N/A,N/A,N/A,N/A,N/A
200,9781869711481,09 Australiana,Footrot Flats: The Long Weekender,Murray Ball,Hatchette New Zealand,Hardcover,N/A,2008
200,9781876334888,09 Australiana,The Mammals Of Australia,N/A,New Holland Publishers Pty Ltd (aus),Hardcover,756,2002
200,9780060816506,10 Art & Fashion,Dressed: A Century Of Hollywood Costume Design,Deborah Nadoolman Landis,Harper Design,Hardcover,592,2007
200,9780500518601,10 Art & Fashion,Fine Jewelry Couture: Contemporary Heirlooms,Olivier Dupon,Thames & Hudson,Hardcover,256,N/A
200,9780810965973,10 Art & Fashion,The Art And Craft Of Gianni Versace,Claire Wilcox,Victoria & Albert Museum,Paperback,160,2002
200,9780811851169,10 Art & Fashion,"Blahnik By Boman: Shoes, Photographs, Conversation",Eric Boman,Chronicle Books,Hardcover,224,2005
